City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,sitka,57.0525,-135.3376,277.05,70,40,4.12,America/Sitka,1675895898
151,louisbourg,45.9235,-59.9643,274.07,62,100,1.79,America/Glace_Bay,1675895899
152,namibe,-15.1951,12.1458,299.24,73,100,4.77,Africa/Luanda,1675895901
153,upernavik,72.7847,-56.147,243.16,75,11,2.82,America/Nuuk,1675895902
154,zaysan,47.4672,84.8719,265.85,90,100,0.74,Asia/Almaty,1675895903
155,illoqqortoormiut,70.4851,-21.9642,258.49,66,99,4.11,America/Scoresbysund,1675895905
156,port alfred,-33.5982,26.8915,295.23,96,100,1.44,Africa/Johannesburg,1675895907
157,oksfjord,70.2395,22.3505,281.56,66,100,11.49,Europe/Oslo,1675895908
158,front royal,38.9179,-78.1918,289.31,31,0,2.57,America/New_York,1675895910
159,palabuhanratu,-6.9882,106.5504,301.84,90,100,2.4,Asia/Jakarta,1675895911
160,bulgan,46.0941,91.5526,269.92,67,58,1.99,Asia/Hovd,1675895913
161,ballina,-28.8657,153.5659,297.98,99,83,3.76,Australia/Sydney,1675895914
162,severo-kurilsk,50.6683,156.1154,267.97,63,94,8.99,Asia/Srednekolymsk,1675895916
163,pochutla,17.6606,-98.8978,301.43,35,38,2.52,America/Mexico_City,1675895917
164,baryatino,54.3103,34.5191,270.91,96,100,3.21,Europe/Moscow,1675895918
165,geraldton,-28.7704,114.6147,301.32,88,0,4.63,Australia/Perth,1675895919
166,zhigansk,66.7656,123.3741,232.39,98,100,3.66,Asia/Yakutsk,1675895920
167,canoinhas,-26.1755,-50.395,303.97,65,41,1.28,America/Sao_Paulo,1675895922
168,bowmore,55.7569,-6.2884,282.23,62,87,8.92,Europe/London,1675895923
169,youkounkoun,12.5348,-13.1213,311.47,16,9,1.72,Africa/Conakry,1675895924
170,yulara,-25.241,130.9869,313.65,26,5,5.2,Australia/Darwin,1675895925
171,carnarvon,-24.8826,113.6576,304.07,70,43,7.42,Australia/Perth,1675895926
172,ancud,-41.8682,-73.8287,291.83,85,14,3.33,America/Santiago,1675895928
173,tsihombe,-25.3185,45.4841,303.61,82,100,2.02,Indian/Antananarivo,1675895929
174,klyuchi,56.3182,160.8422,260.99,96,100,2.01,Asia/Kamchatka,1675895930
175,lamu,-2.2675,40.9011,302.03,87,11,5.14,Africa/Nairobi,1675895931
176,sao joao da barra,-21.6349,-41.0487,299.22,93,100,3.19,America/Sao_Paulo,1675895932
177,metu,3.6716,31.787,309.63,27,36,0.58,Africa/Kampala,1675895934
178,iqaluit,63.7494,-68.5219,252.32,68,40,11.83,America/Iqaluit,1675895935
179,ullapool,57.8978,-5.1587,281.86,76,96,12.64,Europe/London,1675895936
180,hambantota,6.1249,81.1243,303.16,79,97,4.83,Asia/Colombo,1675895937
181,sibolga,1.737,98.7846,303.51,81,100,1.81,Asia/Jakarta,1675895938
182,kalino,43.4727,26.9804,268.69,97,90,4.63,Europe/Sofia,1675895940
183,san juan,18.4653,-66.1167,298.98,75,75,8.23,America/Puerto_Rico,1675895941
184,rorvik,64.8616,11.2379,278.91,65,75,5.14,Europe/Oslo,1675895942
185,moron,18.5602,-74.2581,302.71,75,42,1.49,America/Port-au-Prince,1675895944
186,ingham,-18.6476,146.1603,303.56,76,82,0.92,Australia/Brisbane,1675895946
187,mys shmidta,68.8929,-179.4131,246.04,96,100,4.58,Asia/Anadyr,1675895947
188,kahului,20.8894,-156.4727,299.58,57,20,9.77,Pacific/Honolulu,1675895949
189,petropavlovsk-kamchatskiy,53.02,158.6471,263.99,82,98,3.76,Asia/Kamchatka,1675895950
190,minab,27.1506,57.0753,296.63,78,90,1.03,Asia/Tehran,1675895952
